StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,prolific_id,num6,num1,num2,num4,num5,num3,attn,certain_choice,uncertain_choice,ariely_choice,gigerenzer_choice,Q36,Q39_First Click,Q39_Last Click,Q39_Page Submit,Q39_Click Count,Q3_1,Q1_1,Q24_First Click,Q24_Last Click,Q24_Page Submit,Q24_Click Count,Q1_1,Q2_1,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,b1,b2,b3,b5,b6,b7,bonus_certain,bonus_uncertain,Q32,bonus_pre_ev,bonus_with_pre_ev,substitution,PROLIFIC_PID,bonus,click_1,click_2,click_3,click_4,click_5,click_6,click_7,click_8
2023-03-21 13:23:17,2023-03-21 20:01:55,IP Address,74.66.199.134,100,23917,True,2023-03-21 20:01:55,R_1GwypNigYd9tnvw,,,,,40.7123,-74.0068,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,0,0,1.867,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21 20:01:59,2023-03-21 20:02:56,IP Address,74.66.199.134,100,56,True,2023-03-21 20:02:56,R_2WN1d37a2ecex7H,,,,,40.7123,-74.0068,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Account,,Fake Account,Real Account,Fake Account,Fake Account,,,,,,,,,0,0,0,0,0,0,0,0
2023-03-21 20:22:35,2023-03-21 20:25:20,IP Address,67.243.152.206,100,164,True,2023-03-21 20:25:20,R_dbzxlUlIDaIbcid,,,,,40.7123,-74.0068,anonymous,EN,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,Fake Account,Real Account,Fake Account,Fake Account,Fake Account,Fake Account,,,,,,,,,0,0,0,0,0,0,0,0
2023-03-22 11:45:24,2023-03-22 11:46:12,IP Address,209.2.224.223,100,47,True,2023-03-22 11:46:13,R_uaCSjqRKZCFRcc1,,,,,40.7279,-73.9966,anonymous,EN,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,Fake Account,Real Account,Fake Account,Real Account,Real Account,Fake Account,,,,,,,,,0,0,0,0,0,0,0,0
2023-03-23 10:43:52,2023-03-23 10:47:15,IP Address,108.27.236.149,100,203,True,2023-03-23 10:47:16,R_3J9HQiPNITskx0R,,,,,40.7099,-73.9591,anonymous,EN,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,Real Account,Fake Account,Fake Account,Real Account,Real Account,Fake Account,,,,,,,,,0,0,0,0,0,0,0,0
2023-03-27 09:55:57,2023-03-27 09:58:40,Survey Preview,,100,163,True,2023-03-27 09:58:42,R_3jfJiBlncG57oor,,,,,40.7123,-74.0068,preview,EN,,,,,,,,,,,,,,,,,,,,89,6,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
2023-03-27 10:46:47,2023-03-27 10:47:38,IP Address,74.66.199.134,100,50,True,2023-03-27 10:47:39,R_2v9cDdRNUAJTjt7,,,,,40.7123,-74.0068,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,89,15,,,,,Fake Account,Real Account,Fake Account,Real Account,Real Account,Real Account,,,,,,,,,1,1,0,1,1,1,1,0
2023-03-27 11:07:55,2023-03-27 11:08:17,Survey Preview,,100,22,True,2023-03-27 11:08:18,R_Y3lkTMyPpftqVfr,,,,,40.7123,-74.0068,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
2023-03-21 13:32:22,2023-03-21 13:33:17,IP Address,160.39.28.211,60,55,False,2023-03-28 13:33:18,R_2eQMqywRC8UWvyh,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21 13:44:16,2023-03-21 13:44:42,IP Address,174.197.136.157,50,25,False,2023-03-28 13:46:00,R_3iPEyggPMDxvi7G,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21 13:43:09,2023-03-21 13:43:48,IP Address,104.28.55.234,50,39,False,2023-03-28 13:54:28,R_1IHkk4KF9HjFjBN,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21 13:55:03,2023-03-21 13:55:55,IP Address,67.243.146.210,50,51,False,2023-03-28 13:55:57,R_1Fv5cdq7IplVu8N,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21 13:56:00,2023-03-21 13:57:24,IP Address,74.66.199.134,80,84,False,2023-03-28 13:57:30,R_1mW5x0UrhTO29aP,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,69,,15.905,20.414,21.065,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21 13:48:13,2023-03-21 13:48:20,IP Address,72.225.195.35,80,6,False,2023-03-28 13:58:39,R_Qcw3Q1LRlT8Q1A5,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21 13:53:26,2023-03-21 13:53:31,IP Address,160.39.55.158,50,4,False,2023-03-28 14:02:44,R_3L8gkOm6a52QDGf,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21 14:23:46,2023-03-21 14:24:00,IP Address,65.204.128.202,50,13,False,2023-03-28 14:24:01,R_r9lgCJkuNZh7wTT,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21 14:45:01,2023-03-21 14:49:48,IP Address,173.56.93.66,50,286,False,2023-03-28 14:49:52,R_tKuzYXpa1pETHkl,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21 15:25:10,2023-03-21 15:25:37,IP Address,154.124.221.31,50,26,False,2023-03-28 15:25:44,R_2fHYiLeBEFLdFqS,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21 15:26:08,2023-03-21 15:26:24,IP Address,160.39.61.44,50,16,False,2023-03-28 15:26:26,R_ree9JpSmm7DXIeR,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21 16:32:03,2023-03-21 16:33:31,IP Address,160.39.18.92,60,87,False,2023-03-28 16:33:32,R_3iK00M5k8XBTqyO,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21 16:40:41,2023-03-21 16:42:15,IP Address,38.73.251.207,80,94,False,2023-03-28 16:42:18,R_2YV9D9yuCWrJ2iX,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21 16:08:08,2023-03-21 16:08:32,IP Address,207.237.111.150,50,23,False,2023-03-28 19:48:40,R_2VF0FVHKNqmdUKX,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-22 05:34:44,2023-03-22 05:35:06,IP Address,174.216.244.247,31,22,False,2023-03-29 05:35:07,R_2VqeWfzIYK27eSe,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
2023-03-22 08:50:49,2023-03-22 08:51:18,IP Address,100.33.85.96,38,29,False,2023-03-29 08:51:21,R_2PiLS8Fs81czkcB,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
2023-03-22 02:45:42,2023-03-22 09:13:10,IP Address,78.54.50.57,31,23247,False,2023-03-29 09:13:13,R_2y8xXrDK8Hx94Xa,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
2023-03-22 13:48:28,2023-03-22 13:48:32,IP Address,154.124.221.31,31,3,False,2023-03-29 13:48:33,R_YWDyRHlmFAh0N3P,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
2023-03-21 15:47:25,2023-03-22 15:00:18,IP Address,201.190.175.68,50,83573,False,2023-03-29 15:00:19,R_1FrzlzhM6RM6X7z,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-22 16:24:46,2023-03-22 16:25:19,IP Address,71.255.70.71,38,33,False,2023-03-29 16:25:21,R_2QEh9yvha4CBjjl,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
2023-03-22 17:05:49,2023-03-22 17:07:11,IP Address,73.15.186.142,31,81,False,2023-03-29 17:07:15,R_21nYnDUESIZ9nVG,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
2023-03-23 13:27:24,2023-03-23 13:31:27,IP Address,70.23.99.80,31,242,False,2023-03-30 13:31:30,R_W7LLYH6KX9YxsIh,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
2023-03-21 14:40:03,2023-03-25 10:12:01,IP Address,95.91.243.37,50,329518,False,2023-04-01 10:12:07,R_3fpWuRb6I9c6cea,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-12 11:25:50,2023-04-12 11:29:25,Survey Preview,,100,214,True,2023-04-12 11:29:26,R_wYHPp4mBnGNfLWx,,,,,30.4908,-84.3158,preview,EN,,Yes,,1,,,,,,"Extremely interested,Very interested",,,,,,,,,,,,,,,,51,,24.808,48.408,49.171,2,,,,,,,$0.25 in cash,$0.25 in cash,,,,,,certain,0,0,0,0,0,0,0,0
2023-04-19 10:22:26,2023-04-19 10:25:48,Survey Preview,,100,201,True,2023-04-19 10:25:50,R_3Gj6s6ajiQjy1bz,,,,,47.6722,-122.1257,preview,EN,,Yes,66666,1,50 miles,600,$200,"$12,000",44,"Extremely interested,Very interested",,,,,,30.668,30.668,32.039,1,69,81,3.027,3.147,5.819,2,,,,,,,Real Account,Real Account,Real Account,Real Account,Real Account,Real Account,,,,50,$0.25 in cash,,,pre,0,0,0,0,0,0,0,0
2023-04-24 11:02:06,2023-04-24 11:02:54,Survey Preview,,100,48,True,2023-04-24 11:02:56,R_3Gx1qOgR6AD77i7,,,,,30.4908,-84.3158,preview,EN,,Yes,,,,,,,,,,,,"An Amazon gift card whose value is decided by the following lottery: Of every 100 people who play the lottery, 50 win a $50 Amazon gift card and the other 50 win a $100 Amazon gift card.",,,,,,,,,,,,,,0,0,3.544,0,,,,,,,,,,,,,,pre,0,0,0,0,0,0,0,0
2023-04-24 11:03:39,2023-04-24 11:05:12,Survey Preview,,100,93,True,2023-04-24 11:05:14,R_33jvcoUiG8GlWFz,,,,,30.4908,-84.3158,preview,EN,,Yes,,100,60 miles,167,$200,"$12,000",44,"Extremely interested,Very interested",$50 Amazon gift card,,,,,,,,,,,,,,,76,75,2.58,7.348,8.312,4,Fake Account,Fake Account,Fake Account,Fake Account,Fake Account,Fake Account,,,,50,$0.25 in cash,,,pre,0,0,0,0,0,0,0,0
2023-04-26 14:10:08,2023-04-26 14:10:16,Survey Preview,,100,7,True,2023-04-26 14:10:18,R_3Ra2zLyjT3UU4I9,,,,,40.7263,-73.9818,preview,EN,0.8999999761581421,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:25:26,2023-04-26 14:26:24,Survey Preview,,100,58,True,2023-04-26 14:26:25,R_2aRaWbLUEjtERrJ,,,,,40.7263,-73.9818,preview,EN,0.8999999761581421,Yes,,1,45 miles,166,$100,$4000,53,Extremely interested,,,,,Republican Party,1.947,3.722,4.122,2,86,70,1.329,3.725,4.545,3,,,,,,,,,,,,,,,,,,,,certain,0,0,0,0,0,0,0,0
2023-04-28 10:16:10,2023-04-28 10:23:38,IP Address,108.51.83.87,100,448,True,2023-04-28 10:23:43,R_BRGA08R5Yi44K5P,,,,,38.894,-77.0365,anonymous,EN,0.8999999761581421,Yes,5947f37ff154200001b51473,10,45 miles,500,$150,$9000,44,"Extremely interested,Very interested",,,,"An Amazon gift card whose value is decided by the following lottery: Of every 100 people who play the lottery, 50 win a $50 Amazon gift card and the other 50 win a $100 Amazon gift card.",Democratic Party,,,,,,,,,,,70,25,6.729,15.87,16.309,5,Fake Account,Real Account,Fake Account,Fake Account,Real Account,Fake Account,,An Amazon gift card whose value is determined by a virtual coin toss. You win a $0.50 Amazon gift card if the coin lands heads and a $1 Amazon gift card if it lands tails,Click to write Choice 1,,,Yes,5947f37ff154200001b51473,.50,0,0,0,0,0,0,0,0
2023-04-28 10:27:58,2023-04-28 10:30:54,IP Address,72.95.119.121,100,176,True,2023-04-28 10:30:56,R_Z7S7U3C0XANrqeZ,,,,,43.2817,-71.6595,anonymous,EN,1,Yes,5c17a9fbfeaf2c0001c4b19a,100,60 miles,167,$250,$4000,33,"Extremely interested,Very interested",,,$25 in cash,,Democratic Party,,,,,,,,,,,73,72,0,0,1.813,0,Fake Account,,Real Account,Fake Account,Real Account,Real Account,$0.25 in cash,,,,,,5c17a9fbfeaf2c0001c4b19a,certain,0,0,0,0,0,0,0,0
2023-04-28 10:25:56,2023-04-28 10:31:55,IP Address,73.168.222.16,100,358,True,2023-04-28 10:31:57,R_1EaILxLxKgu1p7M,,,,,41.9032,-87.6383,anonymous,EN,0.8999999761581421,Yes,63f77d4f671167ec16eee15c,10,50 miles,500,$150,$9000,44,"Extremely interested,Very interested",$50 Amazon gift card,,,,Democratic Party,37.103,37.103,39.331,1,38,97,8.485,9.809,10.213,3,,,,,,,Fake Account,Real Account,Real Account,Real Account,Fake Account,Real Account,,$0.25 in cash,Click to write Choice 1,,,,63f77d4f671167ec16eee15c,uncertain,0,0,0,0,0,0,0,0
2023-04-28 10:24:58,2023-04-28 10:32:08,IP Address,71.143.216.152,100,429,True,2023-04-28 10:32:10,R_2OJdPv7kYgvTUFo,,,,,38.3078,-85.7359,anonymous,EN,1,Yes,615defb34adf2f2e2e4bc539,10,50 miles,167,$150,$8000,62,"Extremely interested,Very interested",,,,$25 in cash,,6.962,9.36,10.101,2,18,19,15.778,37.142,37.983,3,,,,,,,Fake Account,Fake Account,Real Account,Real Account,Real Account,Real Account,,,,50,$0.25 in cash,,615defb34adf2f2e2e4bc539,pre,0,0,0,0,0,0,0,0
2023-04-28 10:26:00,2023-04-28 10:32:32,IP Address,98.207.162.210,100,392,True,2023-04-28 10:32:35,R_UiKYZfMymEs6Xzb,,,,,37.4967,-122.2665,anonymous,EN,1,Yes,632bfca8a1b8f79e499a35d9,1,50 miles,167,$150,$9000,44,"Extremely interested,Very interested",$25 in cash,,,,Democratic Party,,,,,,,,,,,24,82,8.024,12.127,13.281,4,Fake Account,Fake Account,Real Account,Real Account,Real Account,Real Account,,,,$50,An Amazon gift card whose value we determine by a lottery where a person has a 50% chance of winning a $0.50 Amazon gift card and a 50% chance of winning a $1 Amazon gift card,Yes,632bfca8a1b8f79e499a35d9,.50,0,0,0,0,0,0,0,0
2023-04-28 10:32:06,2023-04-28 10:33:36,IP Address,73.168.222.16,100,89,True,2023-04-28 10:33:37,R_8qOLKVTaIspI9Ql,,,,,41.9032,-87.6383,anonymous,EN,1,Yes,63f77d4f671167ec16eee15c,10,50 miles,500,$150,$9000,44,"Extremely interested,Very interested",$25 in cash,,,,Democratic Party,2.702,3.073,3.542,2,33,89,1.613,2.919,3.484,4,,,,,,,Fake Account,Real Account,Fake Account,Real Account,Fake Account,Fake Account,,$0.25 in cash,Click to write Choice 2,,,,63f77d4f671167ec16eee15c,uncertain,0,0,0,0,0,0,0,0
2023-04-28 10:20:03,2023-04-28 10:37:40,IP Address,23.93.75.144,100,1056,True,2023-04-28 10:37:43,R_3LjdnP8SjgztGXZ,,,,,37.8767,-122.2676,anonymous,EN,1,Yes,5ea7b7db3021ac19f4c60770,10,45 miles,500,$150,$9000,44,"Extremely interested,Very interested",,,$25 in cash,,Democratic Party,76.964,82.116,83.563,2,17,61,67.518,74.155,75.331,2,,,,,,,Fake Account,Fake Account,Real Account,Fake Account,Real Account,Real Account,,,,0,$0.25 in cash,,5ea7b7db3021ac19f4c60770,pre,0,0,0,0,0,0,0,0
2023-04-28 10:35:34,2023-04-28 10:41:57,IP Address,99.47.159.215,100,382,True,2023-04-28 10:41:59,R_3RsHDFiBjVYFwPo,,,,,35.1431,-90.0492,anonymous,EN,1,Yes,57d810f1813eb30001825b65,10,60 miles,600,$150,$9000,62,"Extremely interested,Very interested",,,,"An Amazon gift card whose value is decided by the following lottery: Of every 100 people who play the lottery, 50 win a $50 Amazon gift card and the other 50 win a $100 Amazon gift card.",Republican Party,30.071,30.071,30.866,1,34,68,15.253,15.253,16.465,1,,,,,,,Real Account,Real Account,Real Account,Fake Account,Real Account,Real Account,,,,50,$0.25 in cash,,57d810f1813eb30001825b65,pre,0,0,0,0,0,0,0,0
2023-04-28 10:33:25,2023-04-28 10:42:45,IP Address,97.119.186.180,100,560,True,2023-04-28 10:42:48,R_3oWN3TiE9pzjcsk,,,,,41.2884,-95.9972,anonymous,EN,1,Yes,5feca808ebe59297998b5133,10,60 miles,500,$150,$9000,53,"Extremely interested,Very interested",,$25 in cash,,,Democratic Party,,,,,,,,,,,45,87,69.279,69.279,75.167,1,Real Account,Fake Account,Fake Account,Real Account,Fake Account,Real Account,$0.25 in cash,,,,,,5feca808ebe59297998b5133,certain,0,0,0,0,0,0,0,0
2023-04-28 10:40:40,2023-04-28 10:43:09,IP Address,67.161.70.162,100,148,True,2023-04-28 10:43:10,R_sv7p6ggV0BSmfYJ,,,,,37.342,-121.9049,anonymous,EN,1,Yes,62c66885ba0578c9b5a0e4ae,10,40 miles,500,$150,$9000,62,"Extremely interested,Very interested",,,$25 in cash,,Democratic Party,,,,,,,,,,,48,64,6.876,6.876,8.324,1,Real Account,Fake Account,Fake Account,Fake Account,Real Account,Real Account,,$0.25 in cash,Click to write Choice 1,,,,62c66885ba0578c9b5a0e4ae,uncertain,0,0,0,0,0,0,0,0
